#,Producto visible,Categoría final,Precio proveedor,Precio sugerido,Stock visible,Estado stock,Etiqueta,Tipo visible,Pantallazo fuente,Notas crudas,Categoría interpretada por nombre,Confianza,Criterio / keyword,Categoría indicada por Jaime,Categoría final ajustada,Fuente ajuste,Requiere revisión,Comentario ajuste,Categoría original visible / captura
22,Lima Para Pies Find Back,Belleza,26000,65900,19.0,Disponible,Premium,No visible,ADMA catalogo 02,,Belleza,Alta,lima para pies,Belleza,Belleza,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Belleza.,Belleza
23,Cobertor De Ventana,Hogar,22000,61900,8.0,Disponible,Premium,No visible,ADMA catalogo 02,,Hogar,Media,cobertor de ventana,No categorizado en captura,Hogar,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Hogar.,No categorizado en captura
24,Pop Magic Bubble,Hogar,11000,54900,147.0,Disponible,Premium,No visible,ADMA catalogo 02,,Juguetería,Alta,pop bubble,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Juguetería.,Hogar
25,Combo Colicos Menstruales,Bienestar,45000,84900,,Agotado,Premium,No visible,ADMA catalogo 02,,Salud / Bienestar,Alta,cólicos menstruales,Bienestar,Bienestar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Salud / Bienestar.,Bienestar
26,Karsell Colageno X2 Und,Bienestar,38000,89900,,Agotado,Premium,No visible,ADMA catalogo 02,,Belleza,Media,colágeno,Bienestar,Bienestar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Belleza.,Bienestar
27,Cocina Facil,Cocina,36500,75900,,Agotado,Premium,No visible,ADMA catalogo 02,,Cocina,Media,cocina fácil,Agotado,Cocina,Inferida por nombre; producto agotado,No,Categoría visible original: Agotado. Subcategoría/criterio previo: Cocina.,Agotado
28,Droppi Cupbillsillo Magnetico Para Gimnasio,Deportes,25000,40000,367.0,Disponible,Premium,No visible,ADMA catalogo 02,,Deportes,Alta,gimnasio,Deportes,Deportes,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Deportes.,Deportes
29,Pelota De Entrenamiento,Deportes,12000,39900,1.0,Disponible,Premium,No visible,ADMA catalogo 02,,Deportes,Alta,pelota de entrenamiento,Deportes,Deportes,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Deportes.,Deportes
30,Brocha Aplicadora Para Cejas Microblandi,Belleza,7500,39900,400.0,Disponible,Premium,No visible,ADMA catalogo 02,,Belleza,Alta,brocha / cejas / microblading,Belleza,Belleza,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Belleza.,Belleza
31,Juguete Dinorex Carro Control Remoto D,Juguetería,90000,129900,10.0,Disponible,Premium,No visible,ADMA catalogo 02,,Juguetería,Alta,juguete / carro control remoto,Juguetería,Juguetería,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Juguetería.,Juguetería
32,Coji Para Bebe,Bebé,40000,79900,69.0,Disponible,Premium,Variable,ADMA catalogo 02,,Bebé / Infantil,Alta,bebé,No categorizado en captura,Bebé,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Bebé / Infantil.,No categorizado en captura
33,Rodilleras Para Niño Azul,Bienestar,18000,57900,159.0,Disponible,Premium,No visible,ADMA catalogo 02,,Bebé / Infantil,Alta,rodilleras para niño,Bienestar,Bienestar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Bebé / Infantil.,Bienestar
34,Gancho 8 En 1 D,Moda,23000,63800,72.0,Disponible,Premium,No visible,ADMA catalogo 02,,Hogar / Organización,Media,gancho 8 en 1,Moda,Moda,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Organización.,Moda
35,Bolso Corral,Bebé,85000,124900,23.0,Disponible,Premium,Variable,ADMA catalogo 02,,Bebé / Infantil,Media,bolso corral,Bebé,Bebé,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Bebé / Infantil.,Bebé
36,Soporte De Bicicleta,Hogar,19000,58900,9.0,Disponible,Premium,No visible,ADMA catalogo 02,,Deportes,Media,soporte de bicicleta,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Deportes.,Hogar
37,Droppi Cupnano Esponja Para Vidrios,Vehículos,8000,20000,641.0,Disponible,Premium,No visible,ADMA catalogo 02,,Vehículos,Media,esponja para vidrios,Vehículos,Vehículos,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Vehículos.,Vehículos
38,Droppi Cuplevador De Colchon,Hogar,5000,10000,100.0,Disponible,Premium,No visible,ADMA catalogo 02,,Hogar,Alta,elevador de colchón,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar.,Hogar
39,Depilador De Cejas Imp,Belleza,15000,54900,,Agotado,Premium,No visible,ADMA catalogo 03,,Belleza,Alta,depilador de cejas,No categorizado en captura,Belleza,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Belleza.,Agotado
40,Pizarra Led,Juguetería,25000,59900,12.0,Disponible,Premium,Variable,ADMA catalogo 03,,Juguetería,Media,pizarra led,Juguetería,Juguetería,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Juguetería.,Juguetería
41,Funda Para Celular D,Tecnología,16000,79900,1.0,Disponible,Premium,No visible,ADMA catalogo 03,,Tecnología,Alta,funda para celular,Tecnología,Tecnología,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Tecnología.,Tecnología
42,Panel Solar 100 Led,Hogar,24000,63900,27.0,Disponible,Premium,No visible,ADMA catalogo 03,,Hogar / Iluminación,Alta,panel solar 100 led,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Iluminación.,Hogar
43,Cepillo Quita Nudos De Ceramica,Belleza,30150,69900,196.0,Disponible,Premium,No visible,ADMA catalogo 03,,Belleza,Alta,cepillo quita nudos,Belleza,Belleza,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Belleza.,Belleza
44,Plantilla Ortopedica,Bienestar,19000,59900,196.0,Disponible,Premium,Variable,ADMA catalogo 03,,Salud / Bienestar,Alta,plantilla ortopédica,Bienestar,Bienestar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Salud / Bienestar.,Bienestar
45,Lanzador De Pelota,Juguetería,50000,89900,250.0,Disponible,Premium,No visible,ADMA catalogo 03,,Juguetería,Alta,lanzador de pelota,Juguetería,Juguetería,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Juguetería.,Juguetería
46,Combo Papa Rin,Cocina,30000,69900,48.0,Disponible,Premium,No visible,ADMA catalogo 03,,Cocina,Media,combo papa,No categorizado en captura,Cocina,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Cocina.,No categorizado en captura
47,Marcadores Magicos,Otro,20000,59900,491.0,Disponible,Premium,No visible,ADMA catalogo 03,,Papelería / Arte,Alta,marcadores,Otro,Otro,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Papelería / Arte.,Otro
48,Ejercitador De Mano,Bienestar,21000,80900,65.0,Disponible,Premium,No visible,ADMA catalogo 03,,Salud / Bienestar,Alta,ejercitador de mano,No categorizado en captura,Bienestar,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Salud / Bienestar.,No categorizado en captura
49,Bombillo Camara,Tecnología,67000,108900,4.0,Disponible,Premium,No visible,ADMA catalogo 03,,Tecnología,Alta,bombillo cámara,No categorizado en captura,Tecnología,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Tecnología.,No categorizado en captura
50,Grifo De Lujo,Cocina,17500,59900,,Agotado,Premium,No visible,ADMA catalogo 03,,Cocina,Alta,grifo,Cocina,Cocina,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Cocina.,Cocina
51,Rodillo Volcanico,Belleza,9900,48000,42.0,Disponible,Premium,Variable,ADMA catalogo 03,,Belleza,Alta,rodillo volcánico,Belleza,Belleza,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Belleza.,Belleza
52,Soporte De Celular Verde,Hogar,19000,44900,23.0,Disponible,Premium,No visible,ADMA catalogo 03,,Tecnología,Alta,soporte de celular,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Tecnología.,Hogar
53,Cera Quita Rayones D,Vehículos,21500,79900,596.0,Disponible,Premium,No visible,ADMA catalogo 03,,Vehículos,Alta,cera quita rayones,Vehículos,Vehículos,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Vehículos.,Vehículos
54,Estante Organizador D,Otro,24000,64800,29.0,Disponible,Premium,No visible,ADMA catalogo 03,,Hogar / Organización,Alta,estante organizador,Otro,Otro,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Organización.,Otro
55,Droppi Cuplampara Luz Led En Forma De S,Hogar,15000,30000,337.0,Disponible,Premium,No visible,ADMA catalogo 03,,Hogar / Iluminación,Alta,lámpara luz led,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Iluminación.,Hogar
56,Manilla Repelente Sancudos,Bienestar,13000,49900,264.0,Disponible,Premium,Variable,ADMA catalogo 03,,Salud / Bienestar,Alta,repelente sancudos,Bienestar,Bienestar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Salud / Bienestar.,Bienestar
57,Tendedero Retractil,Hogar,38000,77900,281.0,Disponible,Premium,No visible,ADMA catalogo 03,,Hogar,Alta,tendedero retráctil,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar.,Hogar
58,Molde Para Hielo Facial,Belleza,26000,69900,,Disponible,Premium,Variable,ADMA catalogo 03,stock no legible completo,Belleza,Alta,molde hielo facial,Belleza,Belleza,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Belleza.,Belleza
59,Caja Organizadora,Hogar,67800,89900,448.0,Disponible,Premium,No visible,ADMA catalogo 04,,Hogar / Organización,Alta,caja organizadora,No categorizado en captura,Hogar,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Hogar / Organización.,No categorizado en captura
60,Polvo De Hada Cafe,Belleza,11500,50900,,Agotado,Premium,No visible,ADMA catalogo 04,,Belleza,Media,polvo de hada,Belleza,Belleza,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Belleza.,Belleza
61,Potato Chopper,Cocina,29000,67900,60.0,Disponible,Premium,No visible,ADMA catalogo 04,,Cocina,Alta,potato chopper,Cocina,Cocina,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Cocina.,Cocina
62,Cubre Sofa 2 Puestos,Hogar,38000,77900,121.0,Disponible,Premium,No visible,ADMA catalogo 04,,Hogar,Alta,cubre sofá,No categorizado en captura,Hogar,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Hogar.,No categorizado en captura
63,Kit Reparador De Rines,Vehículos,38000,77900,394.0,Disponible,Premium,No visible,ADMA catalogo 04,,Vehículos,Alta,kit reparador de rines,Vehículos,Vehículos,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Vehículos.,Vehículos
64,Quita Escamas,Cocina,8000,47900,80.0,Disponible,Premium,No visible,ADMA catalogo 04,,Cocina,Alta,quita escamas,Cocina,Cocina,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Cocina.,Cocina
65,Destapador De Botella,Cocina,17000,56900,51.0,Disponible,Premium,No visible,ADMA catalogo 04,,Cocina,Alta,destapador de botella,No categorizado en captura,Cocina,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Cocina.,No categorizado en captura
66,Speedy Chopper Grande,Cocina,29000,68900,8.0,Disponible,Premium,No visible,ADMA catalogo 04,,Cocina,Alta,chopper,Cocina,Cocina,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Cocina.,Cocina
67,Funda Para Celular,Tecnología,10000,29900,,Agotado,Premium,No visible,ADMA catalogo 04,,Tecnología,Alta,funda para celular,Tecnología,Tecnología,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Tecnología.,Tecnología
68,Funda Volante Negro Aereo,Vehículos,22000,61900,,Agotado,Premium,Variable,ADMA catalogo 04,,Vehículos,Alta,funda volante,Agotado,Vehículos,Inferida por nombre; producto agotado,No,Categoría visible original: Agotado. Subcategoría/criterio previo: Vehículos.,Agotado
69,Botella De Agua Runner,Deportes,15950,54900,,Agotado,Premium,No visible,ADMA catalogo 04,,Deportes,Alta,botella de agua runner,Deportes,Deportes,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Deportes.,Deportes
70,Kit Extractor De Brocas 26 Pcs Set D,Herramientas,89000,129800,100.0,Disponible,Premium,No visible,ADMA catalogo 04,Producto sin imagen,Herramientas,Alta,extractor de brocas,No categorizado en captura,Herramientas,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Herramientas.,No categorizado en captura
71,Gafas De Lectura Con Estuche,Bienestar,27000,66900,29.0,Disponible,Premium,No visible,ADMA catalogo 04,,Salud / Bienestar,Alta,gafas de lectura,Bienestar,Bienestar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Salud / Bienestar.,Bienestar
72,Pelicula Antilluvia,Vehículos,15000,54900,322.0,Disponible,Premium,No visible,ADMA catalogo 04,,Vehículos,Alta,película antilluvia,Vehículos,Vehículos,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Vehículos.,Vehículos
73,Extensión Toma Corriente,Hogar,45000,100000,97.0,Disponible,Premium,No visible,ADMA catalogo 04,,Tecnología,Media,extensión toma corriente,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Tecnología.,Hogar
74,Guantes Anticortes,Cocina,20500,59900,0.0,Disponible,Premium,No visible,ADMA catalogo 04,stock visible 0,Cocina,Media,guantes anticortes,No categorizado en captura,Cocina,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Cocina.,No categorizado en captura
75,Cooler Gel,Bienestar,15000,54900,269.0,Disponible,Premium,No visible,ADMA catalogo 04,,Salud / Bienestar,Media,cooler gel,No categorizado en captura,Bienestar,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Salud / Bienestar.,No categorizado en captura
76,Exprimidor De Frutas Electrico D,Cocina,45000,84900,,Agotado,Premium,No visible,ADMA catalogo 04,,Cocina,Alta,exprimidor de frutas,Agotado,Cocina,Inferida por nombre; producto agotado,No,Categoría visible original: Agotado. Subcategoría/criterio previo: Cocina.,Agotado
77,Audifonos S20,Tecnología,42000,81900,1.0,Disponible,Premium,No visible,ADMA catalogo 04,,Tecnología,Alta,audífonos,No categorizado en captura,Tecnología,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Tecnología.,No categorizado en captura
78,Estante Organizador Para Ropa,Hogar,96000,135900,299.0,Disponible,Premium,No visible,ADMA catalogo 04,,Hogar / Organización,Alta,estante organizador para ropa,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Organización.,Hogar
79,Mini Bomba Para Taladro Electrico,Herramientas,26100,55900,98.0,Disponible,Premium,No visible,ADMA catalogo 04,,Herramientas,Alta,bomba / taladro eléctrico,Herramientas,Herramientas,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Herramientas.,Herramientas
80,Mascarilla De Colageno X5,Bienestar,12000,49000,969.0,Disponible,Premium,No visible,ADMA catalogo 04,,Belleza,Alta,mascarilla de colágeno,Bienestar,Bienestar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Belleza.,Bienestar
81,Termo Inteligente,Hogar,37000,74900,15.0,Disponible,Premium,Variable,ADMA catalogo 04,,Cocina,Media,termo inteligente,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Cocina.,Hogar
82,Ejercitador De Pies,Bienestar,18000,57900,50.0,Disponible,Premium,No visible,ADMA catalogo 04,,Salud / Bienestar,Alta,ejercitador de pies,No categorizado en captura,Bienestar,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Salud / Bienestar.,No categorizado en captura
83,Droppi Cuptijera De Jardineria,Hogar,20000,40000,41.0,Disponible,Premium,No visible,ADMA catalogo 04,,Hogar / Jardín,Alta,tijera de jardinería,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Jardín.,Hogar
84,Rodilleras Para Nino Azul,Bebé,36900,57900,224.0,Disponible,Premium,No visible,ADMA catalogo 04,,Bebé / Infantil,Alta,rodilleras para niño,Bebé,Bebé,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Bebé / Infantil.,Bebé
85,Droppi Cup slim Patch,Bienestar,12000,25000,567.0,Disponible,Premium,No visible,ADMA catalogo 04,,Salud / Bienestar,Media,slim patch,Bienestar,Bienestar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Salud / Bienestar.,Bienestar
86,Rodillera Magnetica,Bienestar,28000,67900,,Disponible,Premium,No visible,ADMA catalogo 04,stock no legible completo,Salud / Bienestar,Alta,rodillera magnética,Bienestar,Bienestar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Salud / Bienestar.,Bienestar
87,Mascara Oso,Juguetería,23500,82900,86.0,Disponible,Premium,Variable,ADMA catalogo 05,,Juguetería,Media,máscara oso,Juguetería,Juguetería,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Juguetería.,Juguetería
88,Cubo Rubik Cilindro,Juguetería,37000,76900,200.0,Disponible,Premium,No visible,ADMA catalogo 05,,Juguetería,Alta,cubo rubik,No categorizado en captura,Juguetería,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Juguetería.,No categorizado en captura
89,Tijera Clever,Cocina,20200,69900,2.0,Disponible,Premium,No visible,ADMA catalogo 05,,Cocina,Alta,tijera clever,Cocina,Cocina,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Cocina.,Cocina
90,Par De Guantes Para Artritis L,Bienestar,20000,59900,,Agotado,Premium,No visible,ADMA catalogo 05,,Salud / Bienestar,Alta,guantes para artritis,Bienestar,Bienestar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Salud / Bienestar.,Bienestar
91,Batidor Manual,Cocina,14500,53900,164.0,Disponible,Premium,No visible,ADMA catalogo 05,,Cocina,Alta,batidor manual,No categorizado en captura,Cocina,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Cocina.,No categorizado en captura
92,Soporte Para Huevos,Hogar,30000,69900,498.0,Disponible,Premium,No visible,ADMA catalogo 05,,Cocina,Alta,soporte para huevos,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Cocina.,Hogar
93,Protector De Espaldar Silla Para Niño,Vehículos,24500,59900,,Agotado,Premium,No visible,ADMA catalogo 05,,Vehículos,Media,espaldar silla para niño,Vehículos,Vehículos,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Vehículos.,Vehículos
94,Dispensador De Agua,Cocina,16000,39900,85.0,Disponible,Premium,No visible,ADMA catalogo 05,,Cocina,Alta,dispensador de agua,Cocina,Cocina,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Cocina.,Cocina
