ID captura,Producto,ID producto,SKU,Categoría(s),Tipo producto,Bodega,Stock visible,Stock privado,Precio proveedor,Precio sugerido,Margen valor,Margen %,# imágenes visibles,Descripción visible,Descripción supera screenshot,Contenido / calidad,Garantía / política visible,Recursos adicionales visibles,Notas crudas
OH-DET-011,Lampara Solar Cl 115,1731346,RH01384,Hogar,Simple,Bogotá,40,0,55000,85000,30000,0.5454545454545454,3,Sí,No,Bueno,No visible,No visible,"Descripción visible: lámpara solar CL-115 para exteriores, iluminación nocturna sin cables, sensor de movimiento, instalación sencilla, panel solar con lámpara reflectora, control remoto incluido y promesa de ahorro/energía limpia."
OH-DET-012,Organizador De Maquillaje Con Cajon,2029315,7535,Hogar; Otro,Simple,Bogotá,298,0,23750,36500,12750,0.5368421052631579,3,Sí,No,Bueno,No visible,No visible,"Descripción visible: organizador de maquillaje blanco con dimensiones aproximadas, múltiples compartimentos superiores, sección para artículos planos y cajón inferior. Incluye uso esperado para mantener productos organizados y embellecer tocador/baño."
OH-DET-013,Camping Para 4 Personas Dt045,1829428,RH01587,Camping,Simple,Bogotá,295,0,66000,100000,34000,0.5151515151515151,3,Sí,No,Bueno,No visible,No visible,"Descripción visible: kit de camping para 4 personas, pensado para naturaleza/familia/parejas. Menciona tienda espaciosa, resistencia al agua, mosquiteras, comodidad y seguridad para una experiencia de camping completa."
OH-DET-014,Estanteria Lavanderia O Baño Con Puerta,2029230,1568,Hogar; Otro,Simple,Bogotá,3,0,44000,59000,15000,0.3409090909090909,2,Sí,No,Bueno,No visible,No visible,"Descripción visible en bullets: estante de lavandería con puerta, color blanco, dimensiones aproximadas 15 cm x 15 cm x 80 cm, diseño para entradas/espacios reducidos, requiere montaje y uso para papel higiénico o pañuelos. Se observa una miniatura tipo 'producto sin imagen'."
OH-DET-015,Proyector Hy300 Magis,1974863,RH01329,Tecnología; Otro,Simple,Bogotá,295,0,156250,166000,9750,0.0624,4,Sí,No,Medio,No visible,No visible,"Descripción visible breve: proyector HY300 Magis para convertir la casa en cine, compacto, resolución HD real, conexión Wi‑Fi y Bluetooth, compatible con celular/laptop/TV Box/consolas, sonido potente y diseño portátil."
OH-DET-016,Lampara De Escritorio Ajustable,1909653,RH0070,Hogar; Otro,Simple,Bogotá,281,0,40000,50000,10000,0.25,3,Sí,No,Medio,No visible,No visible,"Descripción visible breve: lámpara de escritorio ajustable con pinza, brazo flexible, base de pinza para ubicarla en escritorios/mesas, orientada a lectura, estudio, trabajo o manualidades."
OH-DET-017,Banda Elastica Para Estiramiento Pd12,1036887,RH01412,Deportes; Otro,Simple,Bogotá,19,0,10000,25000,15000,1.5,4,Sí,No,Bueno,No visible,No visible,"Descripción visible: correa/banda elástica para entrenamiento y estiramiento. Menciona flexibilidad, mejora de flexibilidad, fortalecimiento y equilibrio; correas de nylon de alta resistencia para durabilidad y seguridad durante las sesiones."
OH-DET-018,Ventilador Con Luz Y Control Fsyt260,1340783,RH01474,Hogar; Natural Home,Simple,Bogotá,35,0,31000,50000,19000,0.6129032258064516,5,Sí,No,Bueno,No visible,No visible,"Descripción visible en lista: ventilador con tres modos de viento, luz LED E27 de 30W, control remoto para velocidad e iluminación, funcionamiento silencioso y múltiples aplicaciones para sala, dormitorio, habitación de niños, cafetería, estudio o cocina."
OH-DET-019,Combo mini Gps Rastremni Camara Inalam,2109190,RH01341,Tecnología; Otro,Simple,Bogotá,300,0,44000,64000,20000,0.45454545454545453,3,Sí,Sí,Bueno,No visible,No visible,"Descripción visible extensa: combo de mini GPS/rastreador y cámara inalámbrica. Lista características como producto importado, conexión de datos, tarjeta SIM no incluida, memoria micro SD, sensor de movimiento, compatibilidad Android/iPhone, batería, carga, dimensiones y especificaciones de conexión. El texto continúa por debajo del pantallazo."
OH-DET-020,Dispensador De Aceite Pn76,1292567,RH0056,Cocina; Hogar; Natural Home,Simple,Bogotá,270,0,12000,28000,16000,1.3333333333333333,5,Sí,No,Bueno,No visible,No visible,"Descripción visible: botella pulverizadora/dispensador de aceite con bomba oculta y acero inoxidable. Orientada a cocina para dosificar aceite de oliva, vegetal, vinagre, aceite de canola/coco/girasol, aceite de cacahuete, jugo, salsa de soja o vino de cocina."
